Métrica,Valor
MSE promedio (CV),0.0760
RMSE promedio (CV),0.2757
Desviación estándar (MSE),0.0074
MAE promedio (CV),0.0966
Mediana del Error Absoluto (MedianAE),0.0696
R² (CV),0.8787
Max Error (CV),2.7433
