Métrica,Valor
MSE promedio (CV),0.0823
RMSE promedio (CV),0.2868
Desviación estándar (MSE),0.0061
MAE promedio (CV),0.1349
Mediana del Error Absoluto (MedianAE),0.0949
R² (CV),0.7955
Max Error (CV),2.9238
