Métrica,Valor
MSE promedio (CV),0.0764
RMSE promedio (CV),0.2764
Desviación estándar (MSE),0.0075
MAE promedio (CV),0.0965
Mediana del Error Absoluto (MedianAE),0.0694
R² (CV),0.8795
Max Error (CV),2.3484
