Métrica,Valor
MSE promedio (CV),0.0764
RMSE promedio (CV),0.2764
Desviación estándar (MSE),0.0072
MAE promedio (CV),0.0958
Mediana del Error Absoluto (MedianAE),0.0688
R² (CV),0.8800
Max Error (CV),2.5847
